sentence,keyword
"Seeing the sight  after the storm, the author felt very   _  .",['after']
What did the author think at first after he saw the jacket?,['after']
The author called the West Point Museum because he thought   _  .,['because']
Stanley Kubrick's works include the following except   _  .,['except']
What exhibit or animal room seemed to be the least popular for most people?,"['or', 'for']"
"According to the police, what was the direct reason for the incident?",['for']
How did the zoo director feel after the incident?,['after']
The reason why Audrey lived and studied in the Netherlands was that   _   .,['and']
"What's the meaning of the sentence ""the rat race is on if you are a rat""?",['if']
What did Megan invent after she got sunburnt on vacation?,['after']
The author lists some examples of violent entertainment EXCEPT   _   .,['except']
The best title for the passage would probably be   _   .,['for']
Why doesn't Santa leave presents for Trogmire or Troubled?,"['or', 'for']"
Trogmire and Troubled don't believe in Santa because    _   .,"['because', 'and']"
The lawyer tried to persuade the lady to play the game because he  _  .,['because']
The author's purpose for writing the story is to  _  .,['for']
All of the following except   _   have contributed to Zhang Ning's success.,['except']
The author had to spend the night at Peters' because   _  .,['because']
Mrs. Peters got angry because   _  .,['because']
What would have happened if the Smiths had stayed on the beach during the tsunami?,['if']
Why did the older angel repair the hole for the rich family?,['for']
The younger angel was very angry because   _  .,['because']
The researchers found that customers were influenced by factors such as   _  .,['as']
"After attending Rooster Morris' performances, kids   _  .",['after']
When eating Iettuce5you'd better   _   so that it tastes best.,['so that']
Why does Adam raise money for charity?,['for']
Jerry and David changed the guide's name to Yahoo because the original name  _  .,"['because', 'and']"
Monarchs are kept as heads of state in Europe mostly,['as']
After reading the story what can we infer about the hospital?   _,['after']
Which is NOT the reason for Australia to become the first country to pass the law of euthanasia?,['for']
People perceive different things about the same scene because   _  .,['because']
What can NuRide do for you when you use the service?,['for']
Valentine was put in prison because   _  .,['because']
Mr. Hunt let the nine soldiers have a holiday because  _  .,['because']
The young officer was worried because  _  .,['because']
The nine soldiers returned to the camp late because  _  .,['because']
Jackson became recognized as a director in  _  .,['as']
"If you are interested in arts, where can you go for a visit?","['if', 'for']"
From the passage we know the followings are True except  _,['except']
Why did the elderly man build a hotel for the clerk?,['for']
"The town was never peaceful, for fire broke out    _    .",['for']
"Mauson was put into prison, because    _    .",['because']
"In South Korea, writing a person's name in red is not accepted because  _  .",['because']
"Before working for the USGS, McGimsey   _  .","['before', 'for']"
Mrs. White trusts Jim because   _  .,['because']
Mabel's parents didn't agree to marry their daughter to Jim because  _  .,['because']
Jim went on standing by the cage because   _  .,['because']
"According to the passage, successful people are different from unsuccessful ones because  _  .",['because']
Jim and Robert chose   _   cards for the weekdays for a fortnight .,"['and', 'for']"
People just passed by the girl because   _  .,['because']
Why did the writer hurry home to finish the essay for the contest NASA held?,['for']
Where or how can we probably find antimatter nowadays?,['or']
The favored kids keep it a secret that they are the preferred ones probably because   _  .,['because']
The reason why the elephant stayed calm and still was that   _  .,"['still', 'and']"
"Hawaii is at a great risk of invasion by exotic species, because   _  .",['because']
Whether water vapour can be seen or not depends on   _  .,['or']
You'd better not drive in a car on Gold Coast because   _  .,['because']
The following advantages of hiring bikes are mentioned EXCEPT that   _  .,['except']
The author's mother was shocked into silence because  _,['because']
Which can be the best title for the text?,['for']
"According to the writer, people need to make an un-schedule because of their   _  .",['because']
The soldier told a lie before the king probably   _  .,['before']
The teaching of reading will be successful if   _  .,['if']
Where was ice used after the Civil War?,['after']
The best title for this passage may probably be   _  .,['for']
A growing interest in sports developed after   _  .,['after']
How many years later was George Cayley's glider flown after he first designed a plane?,"['after', 'later']"
"After Kristin Armstrong retired, she   _  .",['after']
It was difficult for Armstrong to make the decision to participate in the London Olympics because she  _   .,"['because', 'for']"
"In most days of 2011, Armstrong could be described as   _  .",['as']
We can know from the passage that it   _   for Armstrong to keep a balance between her family and dream.,"['and', 'for']"
Mr.White didn't like his nephews because  _  .,['because']
Science fiction is called a literary subgenre because  _  .,['because']
An appropriate title for this passage would be  _  .,['for']
The best title for this passage can be   _  .,['for']
"According to E.O. Wilson, we desire nature probably because   _  .",['because']
"If you don't receive a repaired radio in six weeks, you can   _  .",['if']
"According to the text, what should you do before returning the radio for service?","['before', 'for']"
We believe that lightning is a downward motion because  _  .,['because']
It was a historic moment because   _  .,['because']
Why didn't the young man's mother and sisters answer him?,['and']
"If the trousers were 197 inches at first, how long were they at last?",['if']
"Once you get a drowning person out of water, if he isn't breathing, you must_first.","['once', 'if']"
"If a drowning child has no pulse,_.",['if']
"Since 1990, the number of the children who died before 5 in the world has dropped by about  _  .",['before']
The author could not receive full payment because   _  .,['because']
"If you want to find out more about the Ceilidh Cultural Festival, you can visit  _   .",['if']
The man was sad because   _  .,['because']
"The fairy gave him a gold axe and a silver axe but he didn't take them, because he   _  .","['but', 'because', 'and']"
The fairy helped the man because he was   _   man.,['because']
People love to watch magic because   _  .,['because']
What does the author think of Adrian and Carey's life?,['and']
The cars with hydrogen as fuel   _  .,['as']
The robbers came  _  and they   _  .,['and']
The three robbers escaped on foot across a nearby highway because  _  .,['because']
"After a wild gunbattle,   _  .",['after']
Essays will be judged on the following criteria EXCEPT    _   .,['except']
"If you become a winner, you    _   .",['if']
The passage is mainly about the differences between British English and American English in  _  .,['and']
The text seems to suggest that Jeanne Calment owes her good health and long life to  _  .,['and']
"Why did Jeanne Calment say ""Sorry, I'm still alive!"" to the local lawyer?",['still']
From this passage we may know that the distinction between standing waters and flowing waters   _  .,['and']
"If you are interested in the best music festivals in the UK, you may find the talk on   _   valuable.",['if']
The text is most probably written for those who   _  .,['for']
"If we want to learn English, we must first   _  .",['if']
What might be the most suitable title for the text?,['for']
"As the author was getting off the subway, he   _  .",['as']
The author grabbed the cheese bun the moment before he got off because   _  .,"['because', 'before']"
That scientists study the history of large earthquakes in certain areas is to ultimately  _  .,['ultimately']
"According to the passage, China's food industry has a problem of faking and cheating because  _  .","['because', 'and']"
Some complex languages are used in pop music because   _  .,['because']
The author became more interested in the boy than in the socks because   _  .,['because']
Smith-Spangler and her colleagues found that   _  .,['and']
"After the spittlebugs grow into adults, they  _  .",['after']
"If you want to adopt an elderly man and send gifts and food to him, you should call   _  .","['if', 'and']"
"As a volunteer in Special Holiday Delivery, where should you go to distribute food to the old this year?",['as']
"Musa is called ""Foreign Lei Feng"" because   _  .",['because']
"Before he came to China, Musa   _  .",['before']
"Before she interned  in the fashion company in Tokyo, the writer   _",['before']
"If you want to be successful in life, what should you do first ?",['if']
The writer thinks it necessary for you to   _   if you want to be successful.,"['if', 'for']"
Many consider the later part of life to be the time of living because they  _  .,"['because', 'later']"
The most suitable title for the passage is  _  .,['for']
What's the main reason for people exchanging homes during the holiday?,['for']
How much can you get in the first year if you are employed as the research officer?,"['if', 'as']"
"If you'd like to apply for the post of Project Assistant, you must   _  .","['if', 'for']"
Some governments limit the freedom of communication because  _,['because']
Which of the following can serve as the best title of the passage?,['as']
France is described as an example to show that   _  .,['as']
Why do many people go and see the doctors even when they really don't need to?,['and']
Between ten P.M. and midnight the United States is politically leaderless because   _  .,"['because', 'and']"
The best title for this passage is     .,['for']
"If we have a positive body image, we will  _  .",['if']
"If you go to visit the Long March exhibit with an Australian, how much will you pay altogether for the admission ?","['if', 'for']"
"If you visit the Forbidden City now, which of the following won't be the case you'll have?",['if']
The people were glad to think the elephant was to be shot mainly because   _  .,['because']
The writer realized that he had to shoot the elephant because  _  .,['because']
Jack's mother told him on the phone about Mr. Belser EXCEPT that   _  .,['except']
It can be inferred from the text that before the energy crisis Chinese food  _  .,['before']
Wright didn't go to Yale probably because   _  .,['because']
Many smokers want to stop smoking because they   _  .,['because']
"For some people,it is difficult to give up smoking because","['because', 'for']"
Which is both healthy and profitable way for schools to earn money?,"['and', 'for']"
"If your purpose is to   _  , you can choose swimming as your exercise form.","['if', 'as']"
"After reading this passage, we know that   _  .",['after']
The Browns are looking for a new house. Mr. Brown wants to live in the north of the town near his workplace. Mrs. Brown wants a house with four bedrooms. The Browns' children don't care what the house is like as long as the garden is big enough. Why doesn't the Browns buy the house in the advertisement?,"['as', 'for']"
Which of the following tips are helpful or important EXCEPT   _   according to Dr. Ruth Caleb?,"['or', 'except']"
"What does the author probably mean by saying ""I graduated and learnt how to take care of myself the hard way""?",['and']
Nelson Mandela is loved by all the people of South Africa because   _   .,['because']
It is suggested that if they fail the fitness test three times.they should  _,['if']
It is predicted that many officers would like the yearly test because  _  *,['because']
"If you want to get a raise, the most important thing you should keep in your mind is to   _  .",['if']
All the statements are true except  _  .,['except']
Middle-aged parents with a 10-year-old boy and 5-year-old girl will have to pay   _   for a visit at weekends.,"['and', 'for']"
The survival game is considered complicated and potentially very dangerous because   _  .,"['because', 'and']"
Most animals survive because they can make right decisions by   _  .,['because']
"Concerning the relationship between genetic learning and individual experience, which of the following is right?",['and']
Ben was upset one morning because   _  .,['because']
A bright yellow shirt is not a good choice for taking photos because   _  .,"['because', 'for']"
During the preparation for photo-taking   _  .,['for']
"According to the passage, if we want to get more information ,we can   _  .",['if']
Specialists use dogs to listen to children reading because they think   _  .,['because']
What does the writer want to tell us by taking mice for example?,['for']
What may the text discuss in the next part?,['next']
What can be inferred about the music of ancient Greece and Rome?,['and']
How did the author and her companion arrive at their dining table?,['and']
Amazon.com and eBay are different in that   _  .,['and']
O. Henry spent some time in prison because   _  .,['because']
Living things die in a lake or river because there is no   _  .,"['because', 'or']"
The author mentions Roentgen rays and wireless telegraphy as examples of   _  .,"['as', 'and']"
"From the passage, we know that watching television and movies can  _  .",['and']
Which of the following is most famous for moai?,['for']
The bullying will quickly go to cyberbullying mainly because  _  .,['because']
The author's friends and family  _  .,['and']
What was the event showing Cuba's change for the better?,['for']
My father was angry and took the television away because   _  .,"['because', 'and']"
What did I do after the TV was missing?,['after']
_   is NOT what I did after the TV was missing?,['after']
"As the Internet is open to anyone, we should   _  .",['as']
Paul won some medals because   _  .   [    ],['because']
Paul was   _   after he joined the army. [    ],['after']
Paul sent the young men to the police station because   _  .       [    ],['because']
Paul sat by the telephone that evening because   _  .   [    ],['because']
From the letter we can know that Mr. Robbins had actually paid   _   for the table and the four chairs.,"['and', 'for']"
The passage is most probably intended for   _  .,['for']
Why is e-waste harmful and dangerous to human beings?,['and']
Which of the following is NOT given as a piece of advice to help with e-wastes?,['as']
The author felt unhappy walking with his father because   _  .,['because']
"If a kid is always complaining  about others, he or she should read   _  .","['if', 'or']"
"If you'd like to buy the first two books, you should pay at least  _  .",['if']
What made the author feel better after Grandfather died ?,['after']
We can hear a_sound if we make the part of the ruler sticking out over the edge of the desk longer.,['if']
Some children can't make their own decisions probably because  _  .,['because']
"Facing the changes, some teenagers may feel frightened because   _  .",['because']
Some teenagers think that leaving school can be hard because  _  .,['because']
"If you are employed by the China Daily newspaper group,you can   _  .",['if']
According to the advertisement   _   is a must for all the four jobs.,['for']
Grandma's diabetes brought about all the following EXCEPT that   _  .,['except']
How was grandma when she came out of the anesthesia after the surgery?,['after']
Mr Perry telephoned the agency to thank Brian because   _  .,['because']
"It is still hard to reduce traffic problems, because   _  .","['because', 'still']"
The followings are the advantages of the small shelters EXCEPT  _  .,['except']
Old Reese never wanted to know about his son's studies because   _  .     [    ],['because']
Old Reese became angry because   _  .       [    ],['because']
"The   _   people hold the cup, the more they will pay for it.",['for']
Mary left Pennsylvania for Europe at age 20 mainly because  _  .,"['because', 'for']"
Which year was the most critical to her career and life?,['and']
Mary Cassatt stopping painting because of  _  .,['because']
Emma received advanced education at home because    _   .,['because']
"According to the text, Chinese is becoming a ""critical language"" because   _  .",['because']
"According to Dan Bebber, if crop pests keep moving towards the poles,   _  .",['if']
The best title for the text could be   _  .,['for']
"Professor Michel Claes believes that Canada,France and  Italy   _  .",['and']
"According to Michel Claes,what mainly leads to the differences in parentchildren relationships among Canada,France and Italy?",['and']
Which is the right colour for different rooms?,['for']
What may happen to computer criminals once they are caught?,['once']
What is the main reason for a new round of popularity in China?,['for']
Which is NOT included in the elements for the success of South Korean dramas?,['for']
The writer mentions all the factors that may affect a soccer player's success except   _  .,['except']
"In Mike's opinion, he lost touch with his friend mainly because   _  .",['because']
Money and valuables might be the safest if kept in your  _  .,"['if', 'and']"
It can be inferred that Jason adopted Shorty probably because he  _  .,['because']
The mother felt thankful because  _  .,['because']
What do the picture and the vase have in common?,['and']
"When the author says this year ""there's been more of a scramble for places"" (Para. 3), he means  _  .",['for']
"According to the passage, what can students do if they don't get into their first choice of university?",['if']
Who is wholeheartedly lost in tattoos and piercing?,['and']
Who doesn't think tattoos and piercing are beautiful?,['and']
The best title for this passage is probably   _  .,['for']
Which of the following is NOT mentioned as the damage caused by the earthquake and tsunami?,"['as', 'and']"
Which number should you call if you lose something on the Metro?,['if']
"Hearing Katie's mother's words, Katie's friends were in amazement because   _  .",['because']
"When Tom asked for the ""restroom"", the people around him thought   _  .",['for']
The expenses for becoming a doctor are spent on   _  .,['for']
"According to the passage, how long does it take for a would-be physician to become an independent physician in the USA?",['for']
Sometimes several physicians set up a group medical practice mainly because   _  .,['because']
"On their trip from Paris to America, Clerc and Gallaudet   _  .",['and']
The main idea of this passage could best be stated as  _  .,['as']
Why should we tell children safety and cleanliness?,['and']
Which can be used as the proper title for the passage?,"['as', 'for']"
"If you are among the taller individuals, you are likely to   _  .",['if']
What can we learn from the study of Anne Case and Christina Paxson?,['and']
Who had to pay 400 dollars for the surgery?,['for']
How can people provide a safer and healthier environment for their pet?,"['and', 'for']"
"As for reducing the risks of pet food recalls, what should be mainly taken into consideration?","['as', 'for']"
"Before the writer went to work, he felt  _  .",['before']
Polar bears search for seals mainly through their   _  .,['for']
What is the key reason for polar bears' dying out?,['for']
It can be inferred  from the report that the damage caused by the earthquakes could be much less heavy if   _  .,['if']
Which of the following can be reasonable except   _  .,['except']
A person can do the following things in a blog EXCEPT   _  .,['except']
Why do people eat too much junk food though it is bad for our health?,"['though', 'for']"
What will he or she do if he or she wants to lose weight?,"['if', 'or']"
The writer feels long bus rides are like TV shows because  _,['because']
The writer thinks that the end of the ride is somewhat like the beginning because both are  _,['because']
Steven Spielberg has won  _  award(s) for the best director Oscar.,['for']
"Which state is called the ""golden state"" and why?",['and']
"The famous writer of ""The Old Man and the Sea"" once lived in  _  .","['once', 'and']"
How is the correct time order for different states to join the U.S.?,['for']
"If we book a trip online, we have the following benefits except that   _   .","['if', 'except']"
How much should a couple with one child at 10 and another at 18 pay if they have a package?,"['if', 'and']"
"For auditory learners, to memorize better and faster, what is the most important?","['and', 'for']"
Which of the following is NOT mentioned as the reason for rising rate of Japanese divorces?,"['as', 'for']"
Women did not ride bicycles at first because   _  .,['because']
The writer admired Mrs. Phillips because   _  .,['because']
The writer's mother always had car accidents because   _  .,['because']
_   men and women think differently.,['and']
The students take gap years mainly because   _  .,['because']
How did Profe treat his class and his students?,['and']
"Mother trees"" are extremely important because they  _  .",['because']
The writer went on this camping trip because   _  .,['because']
It can be inferred that Carol had a pack rod with her because   _  .,['because']
Present-day parents are different from those in the past mainly because  _  .,['because']
Which of the following best explains people's favor for The Miraculous Journey of Edward Tulane?,['for']
What did the sprinting world think of Shelly-Ann before the 2008 Olympic Games?,['before']
"If you walk in the streets of Durban, what will impress you most?",['if']
Father's Day was started just because  _  .,['because']
Why is playing a serious business for children?,['for']
SUSIBA2 Rice will be a major breakthrough because   _  .,['because']
What was Ms. Chang's attitude after she learned Nuala's leg was broken?,['after']
Nuala didn't want to dance on the stage because   _  .,['because']
"According to the article, to be a happy person, it is important for us to  _  .",['for']
"According to the article, meditation is helpful mainly because  _  .",['because']
"If this medicine does not help, one should   _  .",['if']
"According to the instruction of this medicine, for purposes of dosage, an adult is a person of   _  .",['for']
Muslims regard green as a symbol of heaven mainly because of their  _  .,"['because', 'as']"
Which is probably the best title for thistext?,['for']
What was Rao's like before The NewYork Times review?,['before']
The author left school at 15 mainly because   _  .,['because']
The Malaysian disaster is quite different mainly because  _  .,['because']
How much will you pay if you want to stay in a capsule inn for 12 hours?,"['if', 'for']"
"For whom, a capsule inn is a good choice while traveling around?",['for']
Rahfeal Gordon was honored because he   _  .,['because']
Rahfeal Gordon uses hip hop lyrics in his lecture because   _  .,['because']
The apartments in the first advertisement have the following advantages Except   _  .,['except']
"If you want to buy an apartment with a public relaxing area, you should dial   _  .",['if']
"For a quiet traveler, he is most likely to choose   _  .",['for']
The neighbor called the police because   _  .,['because']
Viewers struggling for life probably sympathize with characters by watching   _  .,['for']
Norwegian farmers and fishermen have an important effect because   _  .,"['because', 'and']"
Grandpa quickly dismissed the family after the funeral because_.,['after']
Edward Snowden is a person who once worked in a federal department   _  .,['once']
By what means did Edward Snowden leave Hong Kong for Moscow' s Sheremetyevo International Airport?,['for']
The scientists cloned flies because  _  .,['because']
The birthday traditions of New Zealand and the United States share all the following in common EXCEPT  _  .,"['except', 'and']"
A visitor can apply for a free audio tour  _  .,['for']
What's the writer's attitude towards the athletes for the 100-meter final?,['for']
How would the author and Jenna get along with each other after Christmas?,"['after', 'and']"
The author was delighted when she read the card from Jenna because   _  .,['because']
it seems to the writer that the greatest attraction for people to take their training is_.,['for']
What is the purpose of regulating a recall system for faulty cars?,['for']
The young man and his uncle sat   _  that evening.,['and']
Mark Twain stopped telling stories at last because he was  _  .,['because']
The similarity of homeschooling and learning at school is that   _  .,['and']
A person who enjoys mountains and rivers will visit  _  .,['and']
If you are interested in history you will visit  _  .,['if']
Mesa Verde National Park has been a protected national park for around  _  years.,['for']
"When he was asked to move a stack of firewood, the first man who asked for a meal got a shine in his eyes for he was glad that  _  .",['for']
The writer's grandfather asked those jobless men to move the stack of firewood because  _  .,['because']
The writer's grandfather was all of the following but  _  .,['but']
The best title for the story would be  _  .,['for']
"Why isn't ""I want to win the lottery"" recommended as a New Year plan?",['as']
"Which this new iPhone, you can do all the following EXCEPT  _  .",['except']
How thick is the redesigned iPhone 5 if the previous iPhone is  7.6mm in thickness?,['if']
What did Franklin make after his talks with U.S. captains?,['after']
Stanley Vine decided to go to Canada because   _  .,['because']
What did Stanley like doing after work each day?,['after']
"I knew my grandfather was kind and gentle, because   _","['because', 'and']"
He was a different man at home because that   _  .,['because']
"After Frederich Tiedmann wrote his article,  _  .",['after']
"After 1975,the hero of the story spent his life  _  .",['after']
"The writer suggests ""a day without having all the answers"", because   _  .",['because']
Which of the following is not mentioned as being up for bid at the auction?,"['as', 'for']"
"The more items that are given or bought for auction,   _  .","['or', 'for']"
"According to the organizers of Wild Network, there will be many advantages from the campaign EXCEPT   _  .",['except']
Kara often had trouble breathing because  _  .,['because']
The writer   _   before Mr. Bachmann talked to him.,['before']
"After the author cheated on the math test, he felt  _  .",['after']
"Before the cheating, the author thought that  _  .",['before']
The author thinks his mother often drives him crazy because  _  .,['because']
"After he was informed of what he had done, the father  _  .",['after']
The author's father kissed the author good night because  _  .,['because']
Pigs were more easily infected in the past because   _  .,['because']
"As a result of the traffic accident yesterday,   _  .","['as', 'as a result']"
What happened to John after getting in touch with Miss Hollis Maynell?,['after']
"By saying ""Volunteering is something that really helps us as individuals"", the author really means that   _  .",['as']
Volunteers mainly help all of the following people EXCEPT   _   according to the passage.,['except']
All the daughters were quite busy in the morning because   _  .,['because']
The writer felt guilty for a moment because   _  .,"['because', 'for']"
Why did Joyce end up unemployed and homeless?,['and']
The writer was very happy to have met Joyce because  _  .,['because']
Devil Golf Course is famous for   _  .,['for']
After the author's mother had used the Flex Belt for some time she   _,"['after', 'for']"
These countries are working on the development of military robots EXCEPT  _  .,['except']
"Up till now, how many times have the author given blood?",['till']
The author went to a Red Gross clinic when he (or she) arrived in Beijing five years ago because   _  .,['because']
Why do the old man and his grandson collect soft-drink bottles?,['and']
The author threw bottles out of the car window because he wanted to   _  .,['because']
The officer stopped the writer and lectured him because   _  .,"['because', 'and']"
If you want your children to enjoy themselves you'd better choose  _  .,['if']
"The author considers Hillary and Barack ""a surprising pair"" because they are   _  .","['because', 'and']"
Both Hillary and Barack face difficult odds mainly because   _  .,"['because', 'and']"
"If a Canadian who is on a 7-day trip to New York buys $ 800 CAN worth of goods, how much should he pay tax on when returning home?",['if']
"For an American citizen on a 2-day tour of Canada, how much tax does he have to pay on $ 1,600 US worth of purchases when returning to the US?",['for']
"After meeting the dog,the team   _  .",['after']
"It is still men's world"" means   _  .",['still']
Anne Harper doesn't wish that she were a man because she   _  .,['because']
"Which of the following can be described as ""the first age of corporate responsibility""?",['as']
"In order to help kids, the organization RandomKid has done all the following EXCEPT   _  .",['except']
"If you want to buy really cheap second-hand books, you must   _  .",['if']
"The best topic for this passage is ""  _  "".",['for']
Where and when can you hear the Norman Chop Trio ?,['and']
You want to spend the same day at two different places and don't want to cross any street .Which of the following is your best choice?,['and']
Which of the following is NOT used as a comparison with the platypus in the text?,['as']
The following characteristics of the platypus have been described in the text EXCEPT   _  .,['except']
Which of the following would be the best title for this text?,['for']
The new iPad is so popular because   _  .,['because']
According to the relation between health and fatness,['and']
If you are fatter below your hip   you are,['if']
"Accordiring to what is mentioned, the best treatment for obesity at present is   _",['for']
what can be the best title for the text?,['for']
The passage can be sorted as a  _  .,['as']
"The 61ast breath' test tube"" can probably be regarded as  _  .",['as']
If you want a machine which turns off automatically and weighs very little you should choose the   _  .,"['if', 'and']"
Which machine is unsuitable for general use?,['for']
"If Mr Green and his wife with three children want to stay in the hotel for a night, how much should they pay?","['if', 'and', 'for']"
The Americans used the Navajo language in their coding system during the Second World War for the reason that  _  .,['for']
A lot of fighting breaks out between teens and parents because  _  .,"['because', 'and']"
How does the writer feel after he sees the old woman?,['after']
The author's parents finally decided to buy a TV because   _  .,"['because', 'finally']"
"The author thinks ""to judge whether a TV's influence is good or bad"" is   _  .",['or']
"According to the article, both dog people and cat people   _  .",['and']
"According to the passage, disciplining a child means   _   for many parents.",['for']
Which of the following shows the similarity between Museum Day and Free Night of Theater?,['and']
"The best title for the passage would be ""  _  "".",['for']
The earliest flags were connected with heavenly power because   _  .,['because']
"If you want to join in a tour,you can go on    _   .",['if']
A student who wants an information session may    _    for more information.,['for']
The above ads is mainly intended for    _    .,['for']
People enjoy posting selfies partly because   _  .,['because']
The writer may think it better for people to selfie for  _  .,['for']
The truth about Vampires may be known because   _  .,['because']
Pilling a cat can be a terrible experience because cats   _  .,['because']
"Using a ""pill gun"", you had better hold your cat   _   if you're left-handed.",['if']
If a man took less laughing gas than he should have when an operation went on he  _  .,['if']
Internet use may cause a decline in psychological well-being because   _  .,['because']
What is the most important part for you to succeed?,['for']
"If it has been over 12 hours since you missed a dose, you should   _  .",['if']
The two brothers left the UK for India because   _  .,"['because', 'for']"
Why did the brothers name their sandals after Gandhi?,['after']
"As a photographer,the author used to  _  .",['as']
Some of people including   _  were killed or wounded in the blast accident.,['or']
The suicide bomber blew himself up because  _  .,['because']
"According to the article, emoticons are popular because   _  .",['because']
From the reading we know that all the four books are intended for  _  .,['for']
"If you buy all the four books in April, 2005, you will have to pay  _   for them.","['if', 'for']"
"If you want to visit the place where the equestrian events will take place, which tour will you choose?",['if']
Leonard Bernstein was successful at the concert because of   _  .,['because']
"From the passage, we can conclude that Alec appears quite friendly to Rebecca largely because   _  .",['because']
Which of the four magazines is the most suitable for a 4-year-old child?,['for']
American Girl is a magazine different from the others because  _  .,['because']
"If you order a magazine with interviews with sports heroes for one year, how much can you save?","['if', 'for']"
"According to Realistic Reader, when Joan retires she would feel   _   about her trip if she took it now.",['if']
Jack brought the couple their food very fast because  _  .,['because']
"After this experience, Jack  _  .",['after']
What the best title for the passage?,['for']
A partner may help do the following things EXCEPT   _  .,['except']
What got in the way of developing health insurance and pensions in Africa?,['and']
The ceremonies of Coming of Age Day for 20 dated back to  _  .,['for']
"According to the passage,which of the following can best describe the author's    attitude towards the ways the editors and publishers have adopted to get profit?",['and']
It is stressed by the passage that the most important quality for a journalist is  _  .,['for']
"During the middle of the Edo era, from 1603 to 1868, Japanese commoners were used to having all of the following EXCEPT   _  .",['except']
"According to the passage,   _   passengers on board were still alive.",['still']
What is probably the best title for the passage?_.,['for']
Why did the city uncovered look almost the same as it had looked in AD 79?,['as']
"Mr. and Mrs. Smith, who have a son, a daughter and a dog, may be interested in   _  .",['and']
The wise way the judge found out the thief in the end was to make   _  .,['in the end']
What should be done first to make travel in space cheap and safe?,['and']
"According to Theory Second, the disaster happened to the Titanic mainly because  _  .",['because']
"Which of the following was adopted by the""Peace and Love""generation?",['and']
"What does Farhad mean by saying ""the majority of British adults owe money in some way, shape or form""?",['or']
"According to the passage, whose name might be kept secret for some time?",['for']
"If you want to communicate with the bank, you'd better buy    _   .",['if']
Donald decided to cheat in the maths exam because  _  .,['because']
Donald got a high grade in maths because   _,['because']
The teacher knew it was Donald who cheated because   _  .,['because']
"While watching TV with others, women usually talk a lot because they  _  .",['because']
"After a vacation with her girlfriend, a woman would talk to her again on the phone for hours in order to  _  .","['after', 'for']"
"The writer believes that if children don't learn good money habits, they  _  .",['if']
"Some parents don't teach their children good money habits, because  _  .",['because']
What was one of the reasons for the young man to steal in the writer's opinion?,['for']
The major purpose for the writer to write this passage is   _  .,['for']
What do Rakesh Shah and Rajiv Patel have in common?,['and']
"If Mother asks Gina to look after her brother now, what will she probably answer?","['if', 'after']"
Which position is most suitable for a retired person?,['for']
"If you have good computer skills and recently graduated from university (English degree), which jobs can you apply for?","['if', 'and']"
"As the masters of the New World, Americans use a different cutting method from that in the Old World to   _  .",['as']
For what reason did the birdwatchers count wild birds around Mount Vernon?,['for']
The author's attitude towards her daughter can be best described as  _  .,['as']
Which of the following statement is not the way for companies to increase their capital?,['for']
"As to bonds, we know from the passage that   _  .",['as']
Contemporary readers may view the two poets' serious subject differently because   _  .,['because']
What old Harold cannot understand or explain is the fact that   _  .,['or']
Rubin's study shows that for emotional support a married woman is more likely to turn to   _  .,['for']
"According to the passage, a picture that shows the emotions and humanity of people may help you   _  .",['and']
What is each country required to do before the Paris conference?,['before']
The pact is thought to be imperfect because  _  .,['because']
What will happen if more controls are given by the government?,['if']
"As can be inferred from the passage, the writer probably    _    .",['as']
Alexander and his troops traveled and fought probably   _   then.,['and']
The distance between the top of Mount Everest and the base camp was  probably  _    .,['and']
Which is the possible reason why Hooke accepted the job as Curator of Experiments?,['as']
The cell got its name because of    _   .,['because']
"If a boy wants to rent a room, he would send an email to   _  .",['if']
"Mary wants to find a room for only one month, she would rent a room   _  .",['for']
"If a student wants to rent a room with own bathroom, he would have to pay   _   a month.",['if']
The study lasted for more than  _  .,['for']
may be the reason for lowering the risks of getting a cancer.,['for']
"The girl refused her elder sister's help, because   _  .",['because']
Careers in the public sector are more attractive because of their  _  .,['because']
What does the writer think of the job as a waiter/waitress?,['as']
You should notice the firm   _   in advance if you've worked there for six years.,"['if', 'for']"
"When Annie was a nurse, she felt no real   _   in her work or in her life.",['or']
What is one major difference between Annie's new job and her old one?,['and']
Rehan felt upset because   _  .,['because']
The mother shook her head because   _  .,['because']
"If you want to take exercise and go climbing after settling down, you may choose   _  .","['if', 'after', 'and']"
Peter and Anna's marriage is probably   _,['and']
Peter's marriage surprised the writer because,['because']
"If a man loses the ability to recognize his right side,  _  .",['if']
"If you want to know more about Chinese situations, you should read   _  .",['if']
"What's the main point of the ad for ""Hope"" cigarettes?",['for']
"For what Diaz did, his mother showed an attitude of   _  .",['for']
What had happened to his house before he moved into the cave?,['before']
"Why was it ""a very competitive environment"" for them according to the author?",['for']
Author opened the door when he was going to sleep because  _  .,['because']
"According to Veronique Culliford, why is the Smurfs' story still popular after half a century?","['after', 'still']"
The author went outside to destroy the porch because   _  .,['because']
What both men and women don't like in their spare time is   _  .,['and']
The following statements are true EXCEPT that_.,['except']
All the following aspects are the benefits of kids pooling EXCEPT  _  .,['except']
What could be the best title for the news?,['for']
Which is the new PGL holiday for 2013?,['for']
Benjamin Carson's change in study was largely because of    _,['because']
All the following are part of the writer's advice except that the homeowner   _  .,['except']
"As for China, the expansion of urban area means_.","['as', 'for']"
For children  _  .,['for']
